Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,03/03/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,27/01/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,25/03/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,25/02/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,24/02/2019,11:38,Ewallet,735.6,4.761904762,36.78,8
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,20/02/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,29/03/2019,19:21,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,15/01/2019,16:19,Cash,562.32,4.761904762,28.116,4.5
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,01/01/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,21/01/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,25/02/2019,11:24,Ewallet,430.2,4.761904762,21.51,4.8
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,15/03/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4
